,index,Neighborhood,OccurMonth_Year,Matched_Names,Animal Cruelty Offenses,Arson,Assault Offenses,Bribery,Burglary,Counterfeiting/Forgery,Drug/Narcotic Offenses,Embezzlement,Extortion/Blackmail,Fraud Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Larceny Offenses,Motor Vehicle Theft,Pornography/Obscene Material,Prostitution Offenses,Robbery,Sex Offenses,Stolen Property Offenses,Vandalism,Weapon Law Violations,Total_Offenses,Average Radiance Per Pixel Per month,avg_home_price,median_home_price,average_cost_per_foot,days_on_market,homes_sold_2017,condo_sales,distressed_property_sales,year_built,adj_popn,adj_popn_pe_sq_mi,median_age,median_household_income,home_ownership,married,divorced,widowed,seperated,never_married,popn_bachelors_degree_perc,popn_graduate_degree,median_monthly_housing_expenses,people_below_poverty,unemployed_perc,english_perc,perc_households_children,x,perc_diff_county_last_year,perc_diff_state_last_year,total_newcomers_perc,x.1,parks_perc,x.2,commute_by_public_transit,commute_by_bike_perc,commute_by_walking_perc,commute_biking_walking_perc,miles_bike_route_per_sqkm,walk_score
1586,1586,ELIOT,2016-06,ELIOT,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,58.195776236636846,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1587,1587,ELIOT,2016-07,ELIOT,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,52.52625740131271,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1588,1588,ELIOT,2016-08,ELIOT,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,16.0,58.81710555661773,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1589,1589,ELIOT,2016-09,ELIOT,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,54.69720791058196,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1590,1590,ELIOT,2016-10,ELIOT,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,37.0,48.47858589809963,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1591,1591,ELIOT,2016-11,ELIOT,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.0,42.08576671380938,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1592,1592,ELIOT,2016-12,ELIOT,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,28.0,38.04873580799278,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1593,1593,ELIOT,2017-01,ELIOT,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,46.60483911888237,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1594,1594,ELIOT,2017-02,ELIOT,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,35.43852945005928,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1595,1595,ELIOT,2017-03,ELIOT,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,39.07224783035244,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1596,1596,ELIOT,2017-04,ELIOT,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,42.11032391412696,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1597,1597,ELIOT,2017-05,ELIOT,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,30.0,50.202023496770245,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1598,1598,ELIOT,2017-06,ELIOT,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,34.0,53.087657879676975,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1599,1599,ELIOT,2017-07,ELIOT,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0,53.83596410833164,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1600,1600,ELIOT,2017-08,ELIOT,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,38.0,46.35027009705191,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1601,1601,ELIOT,2017-09,ELIOT,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,48.68398348975264,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1602,1602,ELIOT,2017-10,ELIOT,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,30.0,48.28739762828962,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1603,1603,ELIOT,2017-11,ELIOT,0.0,0.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,34.0,37.63010211092424,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1604,1604,ELIOT,2017-12,ELIOT,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,47.310584675292205,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1605,1605,ELIOT,2018-01,ELIOT,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,36.0,45.314131112791145,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1606,1606,ELIOT,2018-02,ELIOT,0.0,0.0,11.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,41.0,58.09883986619452,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1607,1607,ELIOT,2018-03,ELIOT,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,42.44481780455534,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1608,1608,ELIOT,2018-04,ELIOT,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,40.72103297449045,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1609,1609,ELIOT,2018-05,ELIOT,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,34.0,46.60454351499719,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1610,1610,ELIOT,2018-06,ELIOT,0.0,0.0,3.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,31.0,43.90338719091909,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1611,1611,ELIOT,2018-07,ELIOT,0.0,0.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,47.0,52.845220942174514,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1612,1612,ELIOT,2018-08,ELIOT,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,33.0,43.08419460215416,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1613,1613,ELIOT,2018-09,ELIOT,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,48.52932924356087,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1614,1614,ELIOT,2018-10,ELIOT,0.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,33.0,46.79611045927104,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1615,1615,ELIOT,2018-11,ELIOT,0.0,3.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,42.0,43.080705531180605,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1616,1616,ELIOT,2018-12,ELIOT,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,37.0,48.412062428889286,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1617,1617,ELIOT,2019-01,ELIOT,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,31.0,52.09703223425736,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1618,1618,ELIOT,2019-02,ELIOT,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,24.0,49.65556675644576,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1619,1619,ELIOT,2019-03,ELIOT,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,35.0,53.09630714237103,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1620,1620,ELIOT,2019-04,ELIOT,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,47.0,45.5404508267655,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1621,1621,ELIOT,2019-05,ELIOT,0.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,46.0,51.74065853915292,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1622,1622,ELIOT,2019-06,ELIOT,0.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,43.0,50.46364151124617,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1623,1623,ELIOT,2019-07,ELIOT,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,23.0,43.84144601133994,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1624,1624,ELIOT,2019-08,ELIOT,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,42.0,50.40682491984942,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1625,1625,ELIOT,2019-09,ELIOT,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,28.0,39.5965997661376,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1626,1626,ELIOT,2019-10,ELIOT,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,42.0,50.3031045182152,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1627,1627,ELIOT,2019-11,ELIOT,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,37.0,49.67566779275754,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1628,1628,ELIOT,2019-12,ELIOT,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,44.0,37.40326948987138,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1629,1629,ELIOT,2020-01,ELIOT,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,29.0,36.278372774587794,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1630,1630,ELIOT,2020-02,ELIOT,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,26.0,52.469599708360754,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1631,1631,ELIOT,2020-03,ELIOT,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,22.0,46.36031117665037,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1632,1632,ELIOT,2020-04,ELIOT,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,25.0,43.766161591051336,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1633,1633,ELIOT,2020-05,ELIOT,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,31.0,41.346536707264455,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1634,1634,ELIOT,2020-06,ELIOT,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,26.0,43.86460158860529,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1635,1635,ELIOT,2020-07,ELIOT,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,28.0,46.24532608854077,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1636,1636,ELIOT,2020-08,ELIOT,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,37.0,49.66784563479743,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1637,1637,ELIOT,2020-09,ELIOT,0.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,53.0,28.71115996582303,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1638,1638,ELIOT,2020-10,ELIOT,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,32.0,46.93237109285784,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
1639,1639,ELIOT,2020-11,ELIOT,0.0,2.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,44.0,43.8774103559234,532227,520000,255,33,45,7,0,1949,3851,4556,37,48350,24.1,21.7,14.6,6.2,2.3,55.0,31.8,20.0,1017,23.8,10.5,91.1,12.3,70.3,5.4,8.3,14.1,8,1,11,18.6,13.2,12.0,25.2,8.1,84
